k,method,gene_balance,patient_balance,validation,status,time_seconds,genes_selected,error,validation_name
4,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
4,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
4,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
4,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
4,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
4,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
4,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
4,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
4,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
4,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
4,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
4,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
4,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
4,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
4,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
4,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
4,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
4,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
4,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
8,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
8,SCAD,Yes,Yes,split,error,0.01,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
8,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
8,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
8,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
8,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
8,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
8,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
8,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
8,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
8,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
8,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
8,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
8,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
8,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
8,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
8,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
8,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
8,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
8,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
16,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
16,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
16,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
16,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
16,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
16,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
16,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
16,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
16,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
16,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
16,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
16,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
16,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
16,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
16,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
16,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
16,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
16,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
16,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
16,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
24,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
24,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
24,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
24,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
24,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
24,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
24,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
24,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
24,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
24,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
24,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
24,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
24,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
24,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
24,SCAD,No,Yes,loocv,error,0.01,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
24,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
24,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
24,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
24,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
24,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
32,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
32,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
32,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
32,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
32,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
32,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
32,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
32,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
32,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
32,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
32,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
32,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
32,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
32,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
32,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
32,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
32,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
32,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
32,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
32,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
50,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
50,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
50,SCAD,Yes,Yes,cv,error,0.02,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
50,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
50,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
50,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
50,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
50,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
50,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
50,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
50,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
50,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
50,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
50,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
50,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
50,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
50,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
50,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
50,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
50,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
