U22376_cds2_s_at,M92287_at,X59417_at,M55150_at,X95735_at,U46499_at,U50136_rna1_at,Z69881_at,M77142_at,U09087_s_at,M91432_at,X74262_at,AF009426_at,M31211_s_at,HG1612-HT1612_at,U20998_at,M16038_at,M31303_rna1_at,X85116_rna1_s_at,L49229_f_at,M84526_at,U57094_at,S50223_at,M69043_at,L47738_at,U90546_r_at,L13278_at,D87078_at,U59877_s_at,U49395_at,D63880_at,U46751_at,L42572_at,U83115_at,M80254_at,U35451_at,Y00787_s_at,M13792_at,M14483_rna1_s_at,M11722_at,M23197_at,U72342_at,J05243_at,U25435_at,D49950_at,AF012024_s_at,M28130_rna1_s_at,L25931_s_at,Y00433_at,M27891_at,cancer,patient
794,1283,1203,1929,2224,208,1641,172,80,91,323,596,-44,300,2194,824,679,2176,2274,15,-21,271,107,13895,449,15,16,231,-447,813,279,7113,199,536,373,209,15202,2493,16503,-252,316,32,102,243,297,43,10476,421,11793,1073,AML,28
1312,1525,1561,1647,3348,1049,2545,371,21,58,125,309,-21,237,460,1174,1305,1486,2195,17,6569,362,150,1908,65,-7,-17,359,-119,338,277,3717,70,323,550,29,3104,487,8957,297,555,173,237,130,190,50,1653,427,12352,6962,AML,29
485,811,1628,2112,6218,1304,3818,292,44,15,158,313,-33,100,1874,440,2694,730,478,60,7372,480,-1,11990,172,-34,-16,-53,183,807,136,11618,264,526,425,160,6506,769,13303,412,1130,118,238,191,326,12,2971,202,15961,14555,AML,30
408,1032,1784,1555,1548,2087,2943,248,47,61,295,275,-41,192,767,651,1028,3719,983,56,4833,289,31,9866,239,-71,60,-176,193,634,321,1262,294,778,82,223,2096,1614,12122,385,1338,-54,57,96,197,45,688,116,17124,7238,AML,31
1047,1024,1214,1514,3297,167,2535,618,63,50,368,311,9,339,2856,660,2680,1985,1017,88,141,219,210,10899,683,7,34,48,-31,971,283,3088,264,850,619,293,12715,4148,14207,1284,774,249,628,298,259,68,7108,228,13059,12339,AML,32
335,1827,1583,2693,3482,1689,1373,-203,63,0,110,19,-107,59,2205,580,3223,1528,1999,-48,2000,492,-94,14090,153,-104,-44,120,-323,902,151,5749,169,778,864,73,21147,1446,11468,58,443,380,-44,258,100,4,13176,544,9895,3654,AML,33
1126,498,782,1811,2947,2139,2402,784,27,34,263,279,-105,153,624,407,1674,1647,727,-29,4830,449,56,13338,12,-26,6,65,-120,638,226,4719,240,581,59,208,8054,911,11871,454,1450,4,206,165,355,28,3693,216,10227,1537,AML,34
880,165,490,1406,1050,1185,2137,406,28,48,226,336,-67,19,680,529,735,2195,1639,38,-312,281,168,2306,218,-14,-7,60,-72,990,-4,1106,175,507,72,57,216,2551,7860,2,781,117,-16,113,295,50,-45,194,7848,1481,AML,35
473,1309,1648,1707,4863,2046,3965,118,45,74,87,194,-43,88,1031,697,2727,1885,1096,-16,4573,491,-73,21135,8,-22,22,204,-39,633,410,5868,268,812,692,214,17022,1297,14886,455,970,259,-92,275,283,29,11517,255,15609,17863,AML,36
186,852,528,2072,2612,753,2539,43,34,52,183,130,-45,139,1687,786,2399,1359,3397,93,6759,384,-53,12115,-80,-139,-32,-254,-282,497,185,6903,286,811,672,149,19361,753,14927,297,408,-83,87,348,311,98,12979,278,15261,13296,AML,37
680,1484,99,1753,1671,577,2286,214,68,33,111,51,-42,75,1367,845,784,1291,4465,-37,1569,369,62,5902,201,-83,-16,-89,-365,813,118,7061,158,669,307,195,10043,2708,13107,166,275,-1,71,414,70,41,5072,561,12468,1661,AML,38
