X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,M27891_at,X04085_rna1_at,M22960_at,M83652_s_at,U46751_at,U12471_cds1_at,M62762_at,M63138_at,X52056_at,U37055_rna1_s_at,Y00787_s_at,X70297_at,Y00339_s_at,M95678_at,M28130_rna1_s_at,M57710_at,cancer
162,2,973,252,244,185,1102,669,296,-2,296,43,401,-74,167,839,553,672,239,-226,927,239,1246,1815,-33,-296,25,270,-7,1197,74,270,
373,205,571,122,101,147,4509,261,2681,-33,195,78,378,-40,424,2724,180,1049,343,147,1026,66,1769,2577,579,22,-104,15,20,289,-15,195,
2007,109,541,1533,442,1744,6371,801,747,7213,62,-30,1063,218,1066,1676,17846,1551,3432,3599,2601,198,3266,13422,1902,-349,593,-26,-51,2571,10,9988,
3870,106,3568,769,4460,1522,7056,1534,9006,19568,206,365,781,300,4766,13774,21404,3823,1057,1465,9754,334,3457,5946,3451,180,8252,945,145,2736,3628,2280,
2335,211,2335,593,683,2089,6957,1339,10171,9851,-30,826,1512,677,3702,17279,2745,5629,1617,852,7397,434,2120,2815,788,-100,20459,915,76,2397,19878,635,
5814,346,2442,928,729,2735,7281,1895,9138,6595,274,440,1846,1375,2996,11036,11686,3852,1959,633,6793,175,3427,6223,2782,-65,13144,753,4,1531,9620,1214,
4403,204,1083,629,458,855,7248,1811,22222,4366,216,205,1834,280,1150,15196,10737,1016,1385,1392,2380,238,2860,6179,495,-28,20,279,-130,2104,155,434,
2287,96,721,827,318,444,8964,1147,9986,10120,-121,39,442,110,455,28647,3168,7671,1880,37,1987,192,1662,5971,593,-202,127,192,-47,1816,-58,76,
2871,151,2392,646,333,1020,3653,1656,14230,5903,-95,105,370,340,1533,2571,14193,615,222,1987,1369,71,1489,3913,1307,-485,2132,346,-194,3072,661,618,
2122,183,723,336,391,385,10449,880,27285,3717,275,82,3819,139,494,25625,2460,4558,1048,207,1210,176,1933,2442,777,-383,160,304,118,1498,74,187,
3186,175,1023,526,485,489,975,1263,28390,2130,71,97,834,407,5487,2297,123,489,1850,537,2518,132,2600,2776,658,88,13968,171,-58,1716,5864,-91,
2194,218,2349,560,323,716,5086,610,17371,4667,11,96,1343,386,7003,4561,12735,339,1023,1336,2107,280,2631,2172,243,-70,7229,407,-29,1762,2964,405,
543,65,775,341,410,460,3340,749,228,-189,165,332,715,217,1141,380,2103,2016,447,562,1084,163,960,1775,-171,-180,621,139,830,745,130,534,
5949,250,2502,1883,656,2686,5178,1476,5895,7924,-97,-37,867,359,3392,2270,19680,1251,2444,6155,2381,256,4514,6215,3654,-1169,9612,443,35,3983,2931,5097,
4174,455,3190,2204,1152,1499,6311,3220,3917,2705,-32,-127,778,1116,3074,2914,3293,8970,2719,1089,3334,143,2803,11451,1979,-309,2667,1504,-249,13798,73,243,
7133,333,1030,1605,676,1837,5314,1295,2606,5249,2,-99,428,653,2787,1255,24178,3570,2801,3308,4276,155,4346,7323,4617,-152,322,847,74,6065,37,6415,
