U50136_rna1_at,X95735_at,M55150_at,M16038_at,Y12670_at,M23197_at,D49950_at,X17042_at,U82759_at,M84526_at,L08246_at,Y00787_s_at,M80254_at,U46751_at,M27891_at,M62762_at,M63138_at,M28130_rna1_s_at,M81695_s_at,X85116_rna1_s_at,M57710_at,U12471_cds1_at,M19045_f_at,M11147_at,M96326_rna1_at,M69043_at,M83652_s_at,U67963_at,X14008_rna1_f_at,M22960_at,J03801_f_at,X58431_rna2_s_at,cancer,patient
1309,615,907,44,146,155,101,1519,432,-108,1010,-53,-38,1983,-180,809,1346,16,250,1074,343,290,694,4453,45,815,-196,345,846,228,758,252,ALL,19
817,827,860,616,636,180,22,180,359,-58,1969,119,17,2731,205,2475,2273,242,284,1071,950,70,888,13988,-862,2233,-345,718,883,1475,1057,478,ALL,20
383,68,92,447,371,139,48,1912,149,-151,1377,118,34,1962,-124,1514,545,184,137,675,64,39,447,2900,343,5193,82,357,560,449,448,423,ALL,21
825,122,686,239,180,124,74,354,160,-243,791,206,-23,1739,-102,1977,949,155,401,177,88,126,527,6074,678,1026,-175,568,886,130,993,346,ALL,22
731,-108,803,9,780,108,43,178,366,-275,596,146,30,585,425,672,1297,148,613,417,-85,74,1820,3729,1177,740,121,281,1525,131,1782,463,ALL,23
899,222,803,515,655,102,168,1687,770,-263,868,185,209,1571,-205,1235,1343,-146,513,300,-96,205,71,6023,734,2785,-183,668,108,534,39,576,ALL,24
1171,700,842,50,402,203,9,3711,267,-203,635,9270,13,1395,-229,933,1371,4271,439,559,560,144,515,13278,502,14011,-49,510,512,271,160,542,ALL,25
805,433,514,268,190,128,117,1750,59,-53,827,183,19,1437,66,1114,1330,29,416,342,43,98,304,4718,29,2381,-65,402,441,305,446,534,ALL,26
1286,-674,561,483,273,84,12,291,-187,-398,190,150,-100,990,34,-9,2127,-233,430,7,-269,143,2331,4110,176,569,-239,832,1976,251,2406,506,ALL,27
2402,2947,1811,1674,1807,1450,355,8518,652,4830,3127,8054,59,4719,1537,3236,5587,3693,1702,727,394,293,4259,12406,13464,13338,1338,1255,4192,2501,4300,969,AML,34
2137,1050,1406,735,1038,781,295,3628,262,-312,853,216,72,1106,1481,1125,3909,-45,1137,1639,72,322,2517,7855,1233,2306,565,880,2327,1885,2397,428,AML,35
3965,4863,1707,2727,1051,970,283,10603,618,4573,6159,17022,692,5868,17863,4647,12358,11517,2014,1096,5940,337,15519,24521,7955,21135,2892,1863,15761,3927,15351,967,AML,36
2539,2612,2072,2399,1064,408,311,8479,805,6759,5503,19361,672,6903,13296,3808,7125,12979,2683,3397,6247,417,13221,21277,9933,12115,157,1260,13087,1916,13348,882,AML,37
2286,1671,1753,784,2538,275,70,1285,673,1569,2083,10043,307,7061,1661,3594,2275,5072,974,4465,6530,271,2702,20124,2676,5902,-245,644,1663,456,2374,758,AML,38
1641,2224,1929,679,733,316,297,7858,822,-21,6718,15202,373,7113,1073,2702,4214,10476,1147,2274,159,238,2475,16705,548,13895,1179,1372,1953,866,2165,590,AML,28
2545,3348,1647,1305,1296,555,190,8859,1137,6569,1766,3104,550,3717,6962,1736,2558,1653,478,2195,5824,217,3605,11012,19615,1908,868,733,4063,1092,3475,1454,AML,29
3818,6218,2112,2694,647,1130,326,11003,1050,7372,4915,6506,425,11618,14555,3553,8793,2971,2279,478,7142,213,6268,18372,9994,11990,1537,2184,6612,4079,7039,773,AML,30
2535,3297,1514,2680,1467,774,259,3259,1083,141,4136,12715,619,3088,12339,4249,7373,7108,978,1017,1853,264,7969,19173,976,10899,657,2100,5778,1571,7380,704,AML,32
1373,3482,2693,3223,1513,443,100,8855,1099,2000,4126,21147,864,5749,3654,1871,2771,13176,1690,1999,6704,304,13195,21498,4108,14090,562,1571,13076,702,13397,1012,AML,33
